,0
0,Hoxb7
1,Panx3
2,Serpinb13
3,Ccr7
4,Vax2
5,Sry
6,Hoxb9
7,Hes2
8,Gata5
9,Xist
10,Pdcd1
11,Tyr
12,Hoxa13
13,Hoxd9
14,Trpv5
15,Sprr2f
16,Prl3b1
17,Hoxb8
18,Gata1
19,Upk3b
20,Htr3b
21,Cd5
22,Hoxd12
23,Hoxb5
24,Cyp2c29
25,Hsd17b3
26,Amelx
27,Ly6i
28,Grxcr1
29,Pitx1
30,Gys2
31,Dkk1
32,Prl3c1
33,Osr2
34,Pla2g2e
35,Gabra6
36,Cyp21a1
37,Hoxc8
38,Atp4b
39,Spata4
40,Pax4
41,Hist1h2ba
42,Gbp2b
43,Cyp1a2
44,Ghrl
45,Ctsq
46,Mep1b
47,Cldn8
48,Abcg8
49,Hesx1
50,Armc12
51,Ms4a2
52,Cryge
53,Cd160
54,Cldn17
55,Neurog3
56,Prl8a2
57,Igha
58,Hoxd11
59,Cxcl2
60,Rag2
61,Olfr17
62,Bco1
63,Prss42
64,Il13
65,Aqp3
66,Cxcr6
67,Adgrg7
68,Hnf1a
69,Nr1i3
70,Hmx3
71,Muc20
72,Dmrt1
73,Apcs
74,Scn4a
75,Scnn1b
76,Havcr1
77,Htr2b
78,Igll1
79,Olig3
80,Zp3
81,Crygb
82,Pcp2
83,Kiss1
84,Bnc1
85,Hoxc12
86,Cd177
87,Mst1
88,Gpbar1
89,Cd5l
90,Gabrp
91,Cd300lb
92,Gprc6a
93,Serpinb3b
94,Wnt3a
95,Csf2
96,Gcm2
97,Cd40lg
98,Uts2
99,Tnfrsf18
100,Nlrp9b
101,Pgk2
102,Prf1
103,Slurp2
104,Agxt2
105,Tshb
106,Hoxc11
107,Mmp7
108,Il9
109,Mepe
110,Klk1b4
111,Ly6g
112,Csta1
113,Nr1i2
114,Gfi1b
115,Slco1a1
116,Evx2
117,Il5ra
118,Nt5c1b
119,Meiob
120,Rgr
121,Adamts13
122,Crisp1
123,Oc90
124,Il1f10
125,Klrd1
126,Pax7
127,Klrk1
128,Adipoq
129,Cxcl3
130,Hand2
131,Prm1
132,Prap1
133,Il4
134,Tnfsf4
135,Cd19
136,Ocstamp
137,Epb42
138,Hoxd10
139,Mep1a
140,Myf5
141,Ccr4
142,Il10
143,Gpr39
144,Tnfsf11
145,Dppa3
146,Dbx1
147,Avpr2
148,Ncr1
149,Dio1
150,Nppb
151,Fut1
152,Krt79
153,Pdx1
154,Blk
155,Mmp3
156,Clcnkb
157,Cd96
158,Slc30a8
159,Trpm5
160,Tacr2
161,Adamdec1
162,Cfc1
163,Defa5
164,Lbx1
165,Foxd3
166,Mettl21c
167,Foxp3
168,Lep
169,Fga
170,Il17a
171,Gcg
172,Ccnb3
173,Orm1
174,Fshr
175,Irx4
176,Krt40
177,B4galnt2
178,Il17f
179,Cd27
180,Clec4e
181,Hoxa3
182,Odam
183,Gh
184,Hoxc10
185,Tuba3a
186,Barx1
187,Il3
188,Bmp10
189,Krt76
190,Hoxa11
191,Avpr1b
192,Taar5
193,Smcp
194,Cyp17a1
195,Kif2b
196,Dkk4
197,Chil4
198,Mixl1
199,Mtnr1b
200,Ffar3
201,Spta1
202,Fthl17a
203,Gnat3
204,Otc
205,Lin28a
206,Hoxb1
207,Gja8
208,Evx1
209,Tlx3
210,Krt82
211,Fgf4
